ahu,vav,vav_maximum_airflow,vav_minimum_airflow,gpm,valve cv,pressure drop psi,Floor,Reheat,ahu_maximum_airflow,ahu_minimum_airflow,airflow_units
AHU01,VAV 1.1.1,450,225,0,0,0,Floor 1,0,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.2,640,320,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.3,640,320,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.4,560,280,0,0,0,Floor 1,0,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.5,640,320,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.6,800,400,1.8,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.7,400,400,1,0.46,4.7,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.8,1800,900,4,1.9,4.4,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.9,1300,650,2.6,1.2,4.7,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.10,510,255,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.11,810,405,1.8,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.12,640,320,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.13,640,320,1.4,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.14,280,140,0,0,0,Floor 1,0,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.15,1040,520,0,0,0,Floor 1,0,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.16,640,320,1.6,0.8,4,Floor 1,1,12690,6545,FT3-PER-MIN
AHU01,VAV 1.1.17,900,450,1.8,0.8,3.1,Floor 1,1,12690,6545,FT3-PER-MIN
AHU02,VAV 2.1.18,800,400,0,0,0,Floor 1,0,65315,34340,FT3-PER-MIN
AHU02,VAV 2.1.19,630,630,1.4,0.8,3.1,Floor 1,1,65315,34340,FT3-PER-MIN
