site,uuid
csu-dominguez-hills,4335c2f9-fe85-3f63-8310-7d459e448f45
orinda-public-library,fd7bbbf6-5f28-321a-99db-def8e84bd4af
orinda-community-center,fd7bbbf6-5f28-321a-99db-def8e84bd4af
hayward-station-1,683bf516-1519-359c-92a2-7289d5ce66dc
hayward-station-8,683bf516-1519-359c-92a2-7289d5ce66dc
avenal-veterans-hall,a6e9f305-d76b-3e1a-8b11-e3d312134f02
avenal-public-works-yard,a6e9f305-d76b-3e1a-8b11-e3d312134f02
avenal-animal-shelter,a6e9f305-d76b-3e1a-8b11-e3d312134f02
avenal-movie-theatre,a6e9f305-d76b-3e1a-8b11-e3d312134f02
avenal-recreation-center,a6e9f305-d76b-3e1a-8b11-e3d312134f02
south-berkeley-senior-center,a73c1b67-142f-3b45-baf8-e308619b6bbc
north-berkeley-senior-center,a73c1b67-142f-3b45-baf8-e308619b6bbc
berkeley-corporate-yard,a73c1b67-142f-3b45-baf8-e308619b6bbc
jesse-turner-center,4eb8a259-0e1f-36ae-af5d-5e62906c905d
word-of-faith-cc,fa8f400e-766d-30a2-999f-6121eaf0d117
rfs,17b51832-bd64-3585-a313-94de305b6233
Sutardja Dai Hall,a73c1b67-142f-3b45-baf8-e308619b6bbc
The Local Butcher Shop,a73c1b67-142f-3b45-baf8-e308619b6bbc
"Garber St House, Berkeley",a73c1b67-142f-3b45-baf8-e308619b6bbc
LBNL building 46,00327584-54b2-35a8-aaed-182747a5dda7
Brower Center,a73c1b67-142f-3b45-baf8-e308619b6bbc
ciee,a73c1b67-142f-3b45-baf8-e308619b6bbc
